seed,mode,strength,strength_label,break_level,final_global_overlap,failure_events,mean_recovery_score
47,on,0.05,0.05,2,0.9602438131762324,2,0.612573286446954
47,on,0.08,0.08,2,0.953154727838693,3,0.5420770762212676
48,on,0.01,0.01,2,0.9605452424399197,3,0.6144917040842913
48,on,0.03,0.03,2,0.9560963911924315,3,0.6078835226276205
48,on,0.05,0.05,2,0.9589362566339718,3,0.5725472950840416
48,on,0.08,0.08,2,0.9588841779747647,3,0.6203742673563054
49,on,0.01,0.01,3,0.9561474971697004,3,0.541772855550746
49,on,0.03,0.03,3,0.9510031906606664,3,0.5430508982825859
49,on,0.05,0.05,3,0.942575659337353,4,0.5184467122681419
49,on,0.08,0.08,3,0.9494091691825858,4,0.5462814793999967
50,on,0.01,0.01,3,0.9425936884498554,1,0.6285629743494104
50,on,0.03,0.03,3,0.9411733481880391,4,0.509763339983209
50,on,0.05,0.05,3,0.9408729613178732,2,0.6008931350684913
50,on,0.08,0.08,3,0.9386971220924346,4,0.4984190528770764
